move_name,filename,move_duration_frames,package,category,is_neutral,is_mirror,move_soma_uniform_path,move_soma_uniform_shape_path,move_soma_proportional_path,move_soma_proportional_shape_path,move_g1_path,take_name,take_actor,take_org_name,take_date,take_day_part,content_name,content_natural_desc_1,content_natural_desc_2,content_natural_desc_3,content_natural_desc_4,content_technical_description,content_short_description,content_short_description_2,content_all_rigplay_styles,content_uniform_style,content_type_of_movement,content_body_position,content_horizontal_move,content_vertical_move,content_props,content_complex_action,content_repeated_action,actor_uid,actor_height,actor_height_cm,actor_foot_cm,actor_collarbone_height_cm,actor_collarbone_span_cm,actor_elbow_span_cm,actor_wrist_span_cm,actor_shoulder_span_cm,actor_hips_height_cm,actor_hips_bones_span_cm,actor_knee_height_cm,actor_ankle_height_cm,actor_weight_kg,actor_age_yr,actor_gender,actor_profession
walk_hands_on_back_180_loop_R_003__A042,walk_hands_on_back_loop_003__A042,1143,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220728/walk_hands_on_back_loop_003__A042.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220728/walk_hands_on_back_loop_003__A042.bvh,soma_shapes/soma_proportion_fit_mhr_params/A042.npz,g1/csv/220728/walk_hands_on_back_loop_003__A042.csv,walk_hands_on_back_180_loop_R_003,A042,walk_hands_on_back_loop_003,220728,_1,walk_hands_on_back_180_loop_R,person walks forward while keeping their hands behind their back,"person walks forward with their hands behind their back, right hand closer to the body",person walking forward with their hands placed behind their back,A person standing in place with their hands placed on their back begins to walk forward at a steady pace.,"move forward, hands behind back, right hand closer to body, walk forward",walking with hands on back forward,walk hands on back 180 loop,neutral,neutral,walking,standing,1,0,0,0,0,A042,T,178,27,151,29,90,138,172,100,28,52,8,86,63,F,general
jog_ff_start_270_R_103__A050,jog_ff_start_270_103__A050,494,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/221011/jog_ff_start_270_103__A050.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/221011/jog_ff_start_270_103__A050.bvh,soma_shapes/soma_proportion_fit_mhr_params/A050.npz,g1/csv/221011/jog_ff_start_270_103__A050.csv,jog_ff_start_270_R_103,A050,jog_ff_start_270_103,221011,_1,jog_ff_start_270_R,"a jog starts with the right foot, moving slightly to the right","person starts with their right foot and moves sideways, slowly jogging ","character begins jogging to their right, leading with their right foot and pulling their left foot behind them",A person swiftly jogs sideways to their right at a normal pace with long strides.,"start right foot, move sideways, left foot back crossing, jog",start jog to the right,jog ff start 270,neutral,neutral,jogging,standing,1,1,0,0,0,A050,T,182,26,152,40,99,140,180,105,24,53,10,75,31,F,general
walk_arc_ccw_start_L_001__A034,arc_walk_left_start_001__A034,541,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220721/arc_walk_left_start_001__A034.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/arc_walk_left_start_001__A034.bvh,soma_shapes/soma_proportion_fit_mhr_params/A034.npz,g1/csv/220721/arc_walk_left_start_001__A034.csv,walk_arc_ccw_start_L_001,A034,arc_walk_left_start_001,220721,_1,walk_arc_ccw_start_L,a transition from standing position to walking in a counterclockwise arc starting with the left leg,character starts walking counterclockwise in an arc from a standing position,the animation of figure transitioning from a standstill to a counterclockwise arc walk,"A person walks in an arc over their left shoulder, starting with the left leg.",from standing position to walking in an arc counterclockwise,"start walking counterclockwise in an arc, start with left leg",walk arc ccw start,neutral,neutral,walking,standing,1,0,0,0,0,A034,T,183,26,155,37,99,148,182,108,31,54,9,96,27,F,general
walk_ff_start_135_L_003__A037,walk_sideway_135_start_003__A037,1271,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220727/walk_sideway_135_start_003__A037.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220727/walk_sideway_135_start_003__A037.bvh,soma_shapes/soma_proportion_fit_mhr_params/A037.npz,g1/csv/220727/walk_sideway_135_start_003__A037.csv,walk_ff_start_135_L_003,A037,walk_sideway_135_start_003,220727,_1,walk_ff_start_135_L,person leads with their left foot and walks diagonally forward to the left,"person starts to walk diagonally forward to the left, leading with left foot",character begins to walk in a forward left diagonal direction leading with their left leg,"A person starts walking in their left-diagonal direction with long strides. With each step, the right leg crosses over their left as they take 5 cross-steps before stopping.","commence with the left leg, consistently face forward, and initiate walking forward diagonally to the left",commencing a forward left diagonal walk with the left leg taking the lead,walk ff start 135,neutral,neutral,walking,standing,1,0,0,0,0,A037,S,155,24,127,30,88,127,160,87,26,45,7,48,69,F,general
jog_ff_090_R_102__A023,jog_sideway_090_loop_002__A023,553,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220713/jog_sideway_090_loop_002__A023.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220713/jog_sideway_090_loop_002__A023.bvh,soma_shapes/soma_proportion_fit_mhr_params/A023.npz,g1/csv/220713/jog_sideway_090_loop_002__A023.csv,jog_ff_090_R_102,A023,jog_sideway_090_loop_002,220713,_1,jog_ff_090_R,"jog at a steady pace, moving to the left direction",person jogs towards the left,person jogs sideways to the left,A person jogs to their left side while facing forward and comes to a stop.,talent jogging sideways in left direction,jogging to the left side,jog ff 090,neutral,neutral,jogging,standing,1,1,0,0,0,A023,T,190,31,158,42,106,160,195,105,27,54,10,90,46,M,general
walk_ff_stop_180_R_001__A419,walk_ff_stop_180_R_001__A419,983,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/230710/walk_ff_stop_180_R_001__A419.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230710/walk_ff_stop_180_R_001__A419.bvh,soma_shapes/soma_proportion_fit_mhr_params/A419.npz,g1/csv/230710/walk_ff_stop_180_R_001__A419.csv,walk_ff_stop_180_R_001,A419,walk_ff_stop_180_R_001,230710,_1,walk_ff_stop_180_R,stop moving forward by landing on the left foot while walking,"advance forward and stop with a flourish, landing on your left foot","finish walking forward, ending with the left foot",A person walking forward in short steps at a normal pace stops to stand.,"end left foot, move forward, walk forward, maximum expression","stop walking forward, finish with left leg",walk ff stop 180,neutral,neutral,walking,standing,1,0,0,0,0,A419,M,169,25,136,25,90,130,164,95,31,51,8,63,25,F,actor
jump_ff_000_002__A037,jump_backward_002__A037,648,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220727/jump_backward_002__A037.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220727/jump_backward_002__A037.bvh,soma_shapes/soma_proportion_fit_mhr_params/A037.npz,g1/csv/220727/jump_backward_002__A037.csv,jump_ff_000_002,A037,jump_backward_002,220727,_1,jump_ff_000,"jumping back, landing on the right foot",jumping backwards and landing on the right leg,"a jump backwards led by the left foot, while constantly looking forwards","A person jumps backward, and then they stand while swaying their arms.","jumping back, left foot first, head looking forward","jump backwards, finish with right leg",jump ff 000,neutral,neutral,jumping,standing,1,1,0,0,0,A037,S,155,24,127,30,88,127,160,87,26,45,7,48,69,F,general
turn_walk_270_R_003__A055,turn_walk_270_003__A055,722,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/221012/turn_walk_270_003__A055.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/221012/turn_walk_270_003__A055.bvh,soma_shapes/soma_proportion_fit_mhr_params/A055.npz,g1/csv/221012/turn_walk_270_003__A055.csv,turn_walk_270_R_003,A055,turn_walk_270_003,221012,_1,turn_walk_270_R,someone walks forward after making a 90-degree turn to their right,"person walks forward, turning right",someone turns 90 degrees to the right over their shoulder and begins to walk forward,A person turns to their right and walks forward.,"turn right 90 degrees over right shoulder, move forward, walk forward",turn walk right,turn walk 270,neutral,neutral,"walking, turning",standing,1,0,0,0,0,A055,T,188,29,164,30,100,149,190,111,29,55,10,77,71,M,general
sitting_legs_bend_arms_front_stop_R_003__A097,sitting_legs_bend_arms_front_stop_003__A097,463,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/230103/sitting_legs_bend_arms_front_stop_003__A097.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230103/sitting_legs_bend_arms_front_stop_003__A097.bvh,soma_shapes/soma_proportion_fit_mhr_params/A097.npz,g1/csv/230103/sitting_legs_bend_arms_front_stop_003__A097.csv,sitting_legs_bend_arms_front_stop_R_003,A097,sitting_legs_bend_arms_front_stop_003,230103,_2,sitting_legs_bend_arms_front_stop_R,transitions from sitting on the floor with bent legs and arms on knees to standing,transition from a sitting position with bent legs and hands on knees to standing,person transitions from a seated position with their legs bent and arms on their knees to a standing position,A person sitting on the ground rises up and stands straight.,"from sitting on the floor with bent legs to standing position, hands clasped in front resting on knees, legs bent in front symmetrically",end of sitting with legs bent and arms on front,sitting legs bend arms front stop,neutral,neutral,sitting,sitting on floor,0,0,0,0,0,A097,M,169,28,140,29,95,137,173,95,26,50,8,61,27,F,actor
jog_ff_270_R_001__A030,jog_sideway_right_loop_001__A030,1385,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220720/jog_sideway_right_loop_001__A030.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/jog_sideway_right_loop_001__A030.bvh,soma_shapes/soma_proportion_fit_mhr_params/A030.npz,g1/csv/220720/jog_sideway_right_loop_001__A030.csv,jog_ff_270_R_001,A030,jog_sideway_right_loop_001,220720,_1,jog_ff_270_R,full jog to the right from start to stop,a full jogging motion is executed to the right from start to stop,the performer engages in a full jog to the right from start to stop,"A person is jogging sideways quickly to the right, and their legs crisscross each other while they jog. Then the person stops and stands.",character jogs to the right from start to stop,jogging continuously to the right from the beginning to the end,jog ff 270,neutral,neutral,jogging,standing,1,0,0,0,0,A030,M,176,27,141,35,97,133,168,95,27,48,8,56,40,F,general
turn_jump_135_002__A024,turn_jump_0135_002__A024,381,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220713/turn_jump_0135_002__A024.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220713/turn_jump_0135_002__A024.bvh,soma_shapes/soma_proportion_fit_mhr_params/A024.npz,g1/csv/220713/turn_jump_0135_002__A024.csv,turn_jump_135_002,A024,turn_jump_0135_002,220713,_1,turn_jump_135,person jumps forward while turning 45 degrees around their left shoulder,person rotates 45 degrees over their left shoulder with jumping one step,"character makes a single jump, rotating 45 degrees over their left shoulder moving forward to the left diagonal",A person standing upright jumps forward in the left diagonal direction.,rotate 45 degrees over your left shoulder while jumping one step,turn jump forward left diagonally,turn jump 135,neutral,neutral,"jumping, turning",standing,1,1,0,0,0,A024,M,162,25,135,34,89,127,159,90,25,43,9,58,30,F,general
jog_arc_cw_start_R_very_fast_001__A451,jog_arc_cw_start_R_very_fast_001__A451,512,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/230907/jog_arc_cw_start_R_very_fast_001__A451.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230907/jog_arc_cw_start_R_very_fast_001__A451.bvh,soma_shapes/soma_proportion_fit_mhr_params/A451.npz,g1/csv/230907/jog_arc_cw_start_R_very_fast_001__A451.csv,jog_arc_cw_start_R_very_fast_001,A451,jog_arc_cw_start_R_very_fast_001,230907,_2,jog_arc_cw_start_R_very_fast,start running in an arc at a very fast pace,person stops jogging in an arc at a very fast pace,character comes to a halt after running in a curved path at a fast pace,A person starts a fast jog in a clockwise circle.,start very fast jog in clockwise circle starting with right leg,start very fast jog in clockwise circle,jog arc cw start very fast,neutral,neutral,jogging,standing,1,0,0,0,0,A451,M,167,27,136,29,90,131,165,94,26,51,10,50,24,F,actor
walk_ff_stop_360_R_002__A069,walk_ff_stop_360_002__A069,880,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/221118/walk_ff_stop_360_002__A069.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/221118/walk_ff_stop_360_002__A069.bvh,soma_shapes/soma_proportion_fit_mhr_params/A069.npz,g1/csv/221118/walk_ff_stop_360_002__A069.csv,walk_ff_stop_360_R_002,A069,walk_ff_stop_360_002,221118,_1,walk_ff_stop_360_R,person stops and walks backwards,stop the action of walking backwards,"individual ends their backward walk, starting with their left foot","A person walks backward at a normal pace, gradually comes to a stop, and stands in an upright stance.","end left foot, move backward, walk backward",stop walking backwards,walk ff stop 360,neutral,neutral,walking,standing,1,0,0,0,0,A069,S,162,28,138,35,92,133,168,88,33,46,10,90,63,M,general
walk_ff_start_180_R_002__A052,walk_ff_start_180_R_002__A052,716,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/221011/walk_ff_start_180_R_002__A052.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/221011/walk_ff_start_180_R_002__A052.bvh,soma_shapes/soma_proportion_fit_mhr_params/A052.npz,g1/csv/221011/walk_ff_start_180_R_002__A052.csv,walk_ff_start_180_R_002,A052,walk_ff_start_180_R_002,221011,_1,walk_ff_start_180_R,"starting with the right leg, person takes a step forward",initiate a walk forward by stepping out with your right foot,start walking forward beginning with the right foot,A person starts to walk forward at a normal pace.,"start with the right foot, move forward, and walk forward",beginning to walk forward with the right leg,walk ff start 180,neutral,neutral,walking,standing,1,0,0,0,0,A052,M,169,27,138,43,95,135,172,95,28,50,9,65,26,M,general
walk_ff_stop_180_R_005__A033,walk_forward_stop_005__A033,542,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220721/walk_forward_stop_005__A033.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/walk_forward_stop_005__A033.bvh,soma_shapes/soma_proportion_fit_mhr_params/A033.npz,g1/csv/220721/walk_forward_stop_005__A033.csv,walk_ff_stop_180_R_005,A033,walk_forward_stop_005,220721,_1,walk_ff_stop_180_R,stop moving forward by landing on the left foot while walking,"advance forward and stop with a flourish, landing on your left foot","finish walking forward, ending with the left foot",A person standing is walking in the forward direction at a steady pace.,"end left foot, move forward, walk forward, maximum expression","stop walking forward, finish with left leg",walk ff stop 180,neutral,neutral,walking,standing,1,0,0,0,0,A033,S,160,25,130,38,88,126,160,86,23,45,8,59,28,M,general
sit_cross_legged_start_R_004__A097,sit_cross_legged_start_004__A097,464,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/230103/sit_cross_legged_start_004__A097.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230103/sit_cross_legged_start_004__A097.bvh,soma_shapes/soma_proportion_fit_mhr_params/A097.npz,g1/csv/230103/sit_cross_legged_start_004__A097.csv,sit_cross_legged_start_R_004,A097,sit_cross_legged_start_004,230103,_2,sit_cross_legged_start_R,transitioning from standing to sitting cross-legged on the floor,person transitions from a standing position to sitting on the floor cross-legged,person starts to sit cross-legged on the floor,"A person quickly sits cross-legged, facing forward, and holds the position.","from standing position to sitting on the floor with crossed legs, left foot first",start of cross-legged sitting,sit cross legged start,neutral,neutral,sitting,sitting on floor,0,0,0,0,0,A097,M,169,28,140,29,95,137,173,95,26,50,8,61,27,F,actor
jog_ff_135_R_101__A029,jog_sideway_135_loop_001__A029,1054,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220720/jog_sideway_135_loop_001__A029.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/jog_sideway_135_loop_001__A029.bvh,soma_shapes/soma_proportion_fit_mhr_params/A029.npz,g1/csv/220720/jog_sideway_135_loop_001__A029.csv,jog_ff_135_R_101,A029,jog_sideway_135_loop_001,220720,_1,jog_ff_135_R,full jog towards left front diagonal from start to stop,a full jogging motion is performed towards the left front diagonal from start to stop,the performer completes a full jog towards the left front diagonal from start to stop,"The person jogs diagonally sideways to the left, halts, and then turns to the right, continues walking.",character jogs towards the left front diagonal from start to stop,jogging continuously towards the left front diagonal from the beginning to the end,jog ff 135,neutral,neutral,jogging,standing,1,0,0,0,0,A029,S,155,24,127,31,85,120,158,80,22,43,8,41,22,F,general
jog_ff_start_315_R_001__A418,jog_ff_start_315_R_001__A418,529,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/230710/jog_ff_start_315_R_001__A418.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230710/jog_ff_start_315_R_001__A418.bvh,soma_shapes/soma_proportion_fit_mhr_params/A418.npz,g1/csv/230710/jog_ff_start_315_R_001__A418.csv,jog_ff_start_315_R_001,A418,jog_ff_start_315_R_001,230710,_1,jog_ff_start_315_R,person starts jogging backward diagonally with the right foot,person jogs backward diagonally starting with the right foot,person starts a diagonal jog backward,A person swiftly jogs backward along the back-right diagonal.,"start right foot, move backward diagonally, left foot back crossing, jog",start jog back right diagonally,jog ff start 315,neutral,neutral,jogging,standing,1,1,0,0,0,A418,M,168,24,142,33,91,129,168,100,28,52,9,56,26,F,actor
jog_ff_090_R_002__A019,Sideway_Jog_Left_002__A019,5807,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220705/Sideway_Jog_Left_002__A019.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220705/Sideway_Jog_Left_002__A019.bvh,soma_shapes/soma_proportion_fit_mhr_params/A019.npz,g1/csv/220705/Sideway_Jog_Left_002__A019.csv,jog_ff_090_R_002,A019,Sideway_Jog_Left_002,220705,_1,jog_ff_090_R,"jog at a steady pace, moving to the left direction",person jogs towards the left,person jogs sideways to the left,"A person jogs to the left direction sideways in a criss-cross fashion while facing the left side, and then they stop to turn to their right side before continuing to jog again.",talent jogging sideways in left direction,jogging to the left side,jog ff 090,neutral,neutral,jogging,standing,1,1,0,0,0,A019,M,165,26,135,42,90,134,164,89,32,48,10,68,45,M,general
jog_ff_loop_225_R_002__A062,jog_ff_loop_225_002__A062,268,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/221116/jog_ff_loop_225_002__A062.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/221116/jog_ff_loop_225_002__A062.bvh,soma_shapes/soma_proportion_fit_mhr_params/A062.npz,g1/csv/221116/jog_ff_loop_225_002__A062.csv,jog_ff_loop_225_R_002,A062,jog_ff_loop_225_002,221116,_1,jog_ff_loop_225_R,person jogs diagonally forward to the right,"jog forward, diagonally to the right",leisurely jog forward to the right diagonally,A person quickly jogs forward toward the right diagonal.,"move forward diagonally, left foot front crossing, jog",jog forward right diagonally,jog ff loop 225,neutral,neutral,jogging,standing,1,1,0,0,0,A062,T,180,28,151,28,94,138,178,108,28,52,9,69,30,F,general
sitting_legs_crossed_arms_front_stop_R_002__A063,sitting_legs_cross_arms_front_stop_002__A063,349,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/221116/sitting_legs_cross_arms_front_stop_002__A063.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/221116/sitting_legs_cross_arms_front_stop_002__A063.bvh,soma_shapes/soma_proportion_fit_mhr_params/A063.npz,g1/csv/221116/sitting_legs_cross_arms_front_stop_002__A063.csv,sitting_legs_crossed_arms_front_stop_R_002,A063,sitting_legs_cross_arms_front_stop_002,221116,_1,sitting_legs_crossed_arms_front_stop_R,figure rising from a sitting position with legs crossed and hands on the right knee,transitioning from sitting cross-legged on the floor to standing,"person transitions from a seated position with legs crossed to standing, with hands clasped on the right knee","A person sitting in a cross-legged position, gradually stands upright.","from sitting on the floor with bent legs to standing position, hands in front clasped on right knee, left leg tucked under right leg",end of sitting with legs crossed and arms on front,sitting legs crossed arms front stop,neutral,neutral,sitting,sitting on floor,0,0,0,0,0,A063,T,191,28,160,36,100,152,184,109,31,55,9,89,35,M,general
walk_ff_loop_180_R_001__A053,walk_ff_loop_180_R_001__A053,543,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/221012/walk_ff_loop_180_R_001__A053.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/221012/walk_ff_loop_180_R_001__A053.bvh,soma_shapes/soma_proportion_fit_mhr_params/A053.npz,g1/csv/221012/walk_ff_loop_180_R_001__A053.csv,walk_ff_loop_180_R_001,A053,walk_ff_loop_180_R_001,221012,_1,walk_ff_loop_180_R,keep walking forward,character walks forward keeping their face looking front,"someone walks forward, leading with their right foot","A person walks forward in a model-like manner with smooth, confident posture. The head faces forward, shoulders remain aligned, and the limbs move in sync.","consistently face forward, start with the right foot and walk forward",strolling forward,walk ff loop 180,neutral,neutral,walking,standing,1,0,0,0,0,A053,S,151,22,123,26,78,110,143,84,22,43,9,38,60,F,general
idle_loop_001__A029,idle_loop_001__A029,2490,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220720/idle_loop_001__A029.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/idle_loop_001__A029.bvh,soma_shapes/soma_proportion_fit_mhr_params/A029.npz,g1/csv/220720/idle_loop_001__A029.csv,idle_loop_001,A029,idle_loop_001,220720,_1,idle_loop,"someone stands in a basic, neutral position",person stands in a neutral position,person stands in place in a neutral position,A person is standing idle while facing slightly left diagonal direction.,"feet almost parallel in open position, standing in one place",neutral position,idle loop,neutral,neutral,exercising,standing,1,1,0,0,0,A029,S,155,24,127,31,85,120,158,80,22,43,8,41,22,F,general
sitting_legs_crossed_arms_front_stop_R_001__A038,sitting_legs_cross_arms_front_stop_001__A038,471,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220727/sitting_legs_cross_arms_front_stop_001__A038.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220727/sitting_legs_cross_arms_front_stop_001__A038.bvh,soma_shapes/soma_proportion_fit_mhr_params/A038.npz,g1/csv/220727/sitting_legs_cross_arms_front_stop_001__A038.csv,sitting_legs_crossed_arms_front_stop_R_001,A038,sitting_legs_cross_arms_front_stop_001,220727,_1,sitting_legs_crossed_arms_front_stop_R,figure rising from a sitting position with legs crossed and hands on the right knee,transitioning from sitting cross-legged on the floor to standing,"person transitions from a seated position with legs crossed to standing, with hands clasped on the right knee","A person sitting in a cross-legged position, gradually stands upright.","from sitting on the floor with bent legs to standing position, hands in front clasped on right knee, left leg tucked under right leg",end of sitting with legs crossed and arms on front,sitting legs crossed arms front stop,neutral,neutral,sitting,sitting on floor,0,0,0,0,0,A038,T,178,26,148,31,90,135,169,101,27,51,9,65,59,F,general
turn_walk_270_R_001__A147,turn_walk_270_001__A147,417,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/230125/turn_walk_270_001__A147.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230125/turn_walk_270_001__A147.bvh,soma_shapes/soma_proportion_fit_mhr_params/A147.npz,g1/csv/230125/turn_walk_270_001__A147.csv,turn_walk_270_R_001,A147,turn_walk_270_001,230125,_1,turn_walk_270_R,someone walks forward after making a 90-degree turn to their right,"person walks forward, turning right",someone turns 90 degrees to the right over their shoulder and begins to walk forward,A person turns to their right and walks forward.,"turn right 90 degrees over right shoulder, move forward, walk forward",turn walk right,turn walk 270,neutral,neutral,"walking, turning",standing,1,0,0,0,0,A147,M,183,28,150,30,92,143,182,100,31,57,10,84,26,M,actor
turn_jog_090_L_001__A042,turn_start_jog_090_001__A042,758,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220728/turn_start_jog_090_001__A042.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220728/turn_start_jog_090_001__A042.bvh,soma_shapes/soma_proportion_fit_mhr_params/A042.npz,g1/csv/220728/turn_start_jog_090_001__A042.csv,turn_jog_090_L_001,A042,turn_start_jog_090_001,220728,_1,turn_jog_090_L,turn 90 degrees to the left and start jogging,person makes a 90-degree turn to the left and starts jogging,an avatar jogs while making a left turn,"A person standing upright turns to their left, jogs forward at a steady pace, then comes to a halt and stands swaying.",turn left 90 degrees and jog,turn left and jog,turn jog 090,neutral,neutral,"jogging, turning",standing,0,0,0,0,0,A042,T,178,27,151,29,90,138,172,100,28,52,8,86,63,F,general
walk_ff_stop_315_R_005__A067,walk_ff_stop_315_005__A067,883,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/221117/walk_ff_stop_315_005__A067.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/221117/walk_ff_stop_315_005__A067.bvh,soma_shapes/soma_proportion_fit_mhr_params/A067.npz,g1/csv/221117/walk_ff_stop_315_005__A067.csv,walk_ff_stop_315_R_005,A067,walk_ff_stop_315_005,221117,_1,walk_ff_stop_315_R,character stopping as they walk diagonally backwards to the right,"person stops walking, moving backwards diagonally on the right foot",stop moving and walk backwards diagonally,"A person walks backward diagonally to the right at a steady pace in a crisscross pattern, then comes to a stop and stands.","end left foot, move backward diagonally, left foot back crossing, walk backward diagonally",stop walking back right diagonal,walk ff stop 315,neutral,neutral,walking,standing,1,0,0,0,0,A067,T,190,31,161,29,100,120,188,110,27,46,11,80,51,M,general
jog_ff_stop_360_R_004__A268,jog_ff_stop_360_R_004__A268,458,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/230313/jog_ff_stop_360_R_004__A268.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230313/jog_ff_stop_360_R_004__A268.bvh,soma_shapes/soma_proportion_fit_mhr_params/A268.npz,g1/csv/230313/jog_ff_stop_360_R_004__A268.csv,jog_ff_stop_360_R_004,A268,jog_ff_stop_360_R_004,230313,_1,jog_ff_stop_360_R,a backward jog that ends in a neutral standing position,the person jogs back before ending in a neutral position,jog backward before pausing and returning to a neutral pose,"The person steadily jogs backward, swinging their arms, and comes to a halt, standing upright.","jog backwards, ends in neutral position",stop backward jog,jog ff stop 360,neutral,neutral,jogging,standing,1,1,0,0,0,A268,M,173,25,148,39,98,145,184,100,35,53,10,93,66,M,actor
idle_hands_on_back_stop_R_001__A179,idle_hands_on_back_stop_001__A179,626,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/230210/idle_hands_on_back_stop_001__A179.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230210/idle_hands_on_back_stop_001__A179.bvh,soma_shapes/soma_proportion_fit_mhr_params/A179.npz,g1/csv/230210/idle_hands_on_back_stop_001__A179.csv,idle_hands_on_back_stop_R_001,A179,idle_hands_on_back_stop_001,230210,_1,idle_hands_on_back_stop_R,assume a secured stance with hands positioned behind back,"person comes to a stop from a walking pace, placing their hands behind their back","person brings their hands from behind their back, with the right hand closer to their body","A person stands with their arms in the back, lowers them to the side, and stands straight.","from hands behind back to position, right hand closer to body",stopping to stand with hands on back position,idle hands on back stop,neutral,neutral,standing idle,standing,1,1,0,0,0,A179,M,169,23,140,29,87,130,163,98,24,51,8,56,31,F,actor
jog_ff_090_R_002__A031,jog_sideway_090_stop_002__A031,448,Locomotion,Basic Locomotion Neutral,1.0,False,soma_uniform/bvh/220720/jog_sideway_090_stop_002__A031.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/jog_sideway_090_stop_002__A031.bvh,soma_shapes/soma_proportion_fit_mhr_params/A031.npz,g1/csv/220720/jog_sideway_090_stop_002__A031.csv,jog_ff_090_R_002,A031,jog_sideway_090_stop_002,220720,_1,jog_ff_090_R,"jog at a steady pace, moving to the left direction",person jogs towards the left,person jogs sideways to the left,"A person jogs sideways to the left while facing forward, then comes to a halt.",talent jogging sideways in left direction,jogging to the left side,jog ff 090,neutral,neutral,jogging,standing,1,1,0,0,0,A031,T,192,30,157,37,101,149,189,105,28,56,10,85,22,M,general
